Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","149.2865","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","149.0904","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","149.202","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","149.3894","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","149.4969","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","149.2957","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","149.5899","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","149.146","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","149.4069","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","149.208","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","149.2506","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","149.4392","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6971","Herbaceous crops","2001","2001","1000 ha","9020.8252","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6971","Herbaceous crops","2002","2002","1000 ha","9080.664","FC","Calculated data"
"LC","Land Cover","28","Myanmar","5007","Area from MODIS","6971","Herbaceous crops","2003","2003","1000 ha","9212.8585","FC","Calculated data"
