"Period"	"Cattle"	"Cattle"	"Sheep"	"Sheep"	"Goat"	"Goat"	"Sheep·Goat"	"Sheep·Goat"	"Pig"	"Pig"	"Fish"	"Chicken"	"Duck"	"Milk"	"Egg"	"Egg"
"Period"	"Number slaughtered (thou. No.)"	"Beef production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Mutton production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Meat production (thou. Viss)"	"Number slaughtered"	"Mutton production"	"Number slaughtered (thou. No.)"	"Pork production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"production (thou. Viss)"	"Hen Egg (thou. No.)"	"Duck Egg (thou. No.)"
"2007. 02"	"2573"	"257"	"5448"	"54"	"7914"	"79"	"-"	"-"	"24144"	"1207"	"10685"	"1018"	"47"	"-"	"-"	"-"
"2007. 03"	"3138"	"314"	"8648"	"86"	"13309"	"133"	"-"	"-"	"25816"	"1291"	"11137"	"570"	"16"	"-"	"-"	"-"
"2007. 04"	"2865"	"287"	"7484"	"75"	"11094"	"111"	"-"	"-"	"23262"	"1163"	"12316"	"663"	"13"	"-"	"-"	"-"
"2007. 05"	"3578"	"358"	"7257"	"73"	"9863"	"99"	"-"	"-"	"27935"	"1397"	"11676"	"842"	"27"	"-"	"-"	"-"
"2007. 06"	"3678"	"368"	"7576"	"76"	"8259"	"83"	"-"	"-"	"26668"	"1333"	"10317"	"820"	"33"	"-"	"-"	"-"
"2007. 07"	"3579"	"358"	"7925"	"79"	"7952"	"80"	"-"	"-"	"25223"	"1261"	"10439"	"963"	"45"	"-"	"-"	"-"
"2007. 08"	"3754"	"375"	"7939"	"79"	"7702"	"77"	"-"	"-"	"26492"	"1325"	"10430"	"1019"	"35"	"-"	"-"	"-"
"2007. 09"	"3350"	"335"	"7375"	"74"	"7677"	"77"	"-"	"-"	"23639"	"1182"	"10334"	"1192"	"29"	"-"	"-"	"-"
"2007. 10"	"2964"	"296"	"6868"	"69"	"7188"	"72"	"-"	"-"	"21224"	"1061"	"11072"	"1163"	"29"	"-"	"-"	"-"
"2007. 11"	"3116"	"312"	"6720"	"67"	"7367"	"74"	"-"	"-"	"21356"	"1068"	"12644"	"1106"	"25"	"-"	"-"	"-"
